Date,City,State,Latitude,Longitude,Total shot,Number killed,Number wounded,Assault weapon OR high-capacity magazine,Prohibited shooter,Killed intimate partner or family,Dangerous warning signs,Narrative,Last updated
9/16/2013,Washington,DC,38.873,-76.9977,15,12,3,No,No,No,Yes,A shooter fatally shot 12 people and wounded three more in an attack on Building 197 at the Navy Yard. The shooter was a civilian contractor working to update computer systems at military installations. He was fatally shot by a responding police officer.,2021-06-02T14:41:58.000Z
9/22/2013,Rice,TX,32.2337,-96.4661,4,4,0,No,No,Yes,No,"A shooter fatally shot her husband and three children – ages 4, 8, and 10 – before fatally shooting herself. The shooting took place at the family’s home.",2021-06-02T14:41:58.000Z
10/9/2013,Paris,TX,33.6652,-95.5505,4,4,0,No,No,No,Under review,"In a Paris, TX home, an unknown assailant shot and killed four men who ranged in age from 18 to 32.",2021-06-02T14:44:05.000Z
10/26/2013,Phoenix,AZ,33.5042,-112.096,4,4,0,No,No,No,No,"A shooter entered his neighbor’s home and killed all four family members and their two dogs. The shooter then tried to enter another nearby residence, firing twice into the door, but ultimately failed and returned home to fatally shoot himself. Other neighbors and family members pointed to the shooter’s annoyance at the dogs’ barking as a possible motive for the shooting.",2021-06-02T14:41:58.000Z
10/28/2013,Terrell,TX,32.7863,-96.2806,5,5,0,No,Yes,Yes,Yes,"A shooter fatally shot his mother, his aunt, two acquaintances, and a store clerk in a spree of attacks before being captured by police. He killed the first four victims in their respective homes and the final one – the clerk – at Ali’s Market on W. Moore Avenue, apparently in an attempt to rob the store.",2021-06-02T14:41:58.000Z
10/29/2013,Callison,SC,33.9881,-82.2888,5,5,0,No,Yes,Yes,Yes,"A shooter fatally shot the mother of his child, her parents, and her two nephews in their home before fatally shooting himself.",2021-06-02T14:41:58.000Z
11/7/2013,Jacksonville,FL,30.3068,-81.7298,4,4,0,No,No,No,Under review,An unknown assailant fatally shot two sisters and two other men in a home.,2021-06-02T14:44:05.000Z
11/23/2013,Tulsa,OK,36.1771,-95.9403,5,4,1,No,No,No,Under review,"An unknown assailant shot a woman and two married couples, killing four and leaving one male victim in critical condition.",2021-06-02T14:44:05.000Z
12/1/2013,Topeka,KS,39.0379,-95.6905,4,4,0,No,No,No,Under review,"An unknown assailant shot and killed four people – a woman whose body was found behind a strip mall, and her brother, ex-husband, and a female friend, whose bodies were found in her house.",2021-06-02T14:44:05.000Z
1/16/2014,Spanish Fork,UT,40.1109,-111.665,4,4,0,No,No,Yes,Yes,"A shooter, an officer in the Lindon Police Department, fatally shot his wife, their two children, and his mother-in-law inside of their family home before fatally shooting himself.",2021-06-02T14:41:58.000Z
2/3/2014,Cypress,TX,29.973,-95.6542,4,4,0,No,No,No,Under review,"An unknown assailant fatally shot a married couple and their two sons, ages 7 and 9, in their home.",2021-06-02T14:44:05.000Z
2/20/2014,Indianapolis,IN,39.717,-86.1136,4,4,0,No,Yes,No,No,"During an attempt to rob the home of a drug dealer, multiple shooters killed the drug dealer and three others using both a gun stolen from the victim and their own handgun.",2021-06-02T14:41:58.000Z
2/20/2014,Alturas,CA,41.4909,-120.5425,6,4,2,No,No,Yes,Yes,"A shooter fatally shot four people, wounded two others by gunshot, and wounded another with a knife at her eviction hearing at the Cedarville Rancheria Tribal Community Council. Among the fatalities were the shooter’s brother, niece, and nephew.",2021-06-02T14:41:58.000Z
6/8/2014,Fort Myers,FL,26.4815,-81.8213,4,4,0,No,No,Yes,Yes,"A shooter shot and killed his girlfriend and three daughters – ages 2, 5, and 10 – before fatally shooting himself. The shooting took place after a party at the shooter’s home.",2021-06-02T14:41:58.000Z
7/9/2014,Spring,TX,30.0405,-95.4424,7,6,1,No,No,Yes,Yes,"A shooter allegedly shot and killed the sister of his ex-wife, her husband, and four of their children, injuring a fifth, before being captured by police.",2021-06-02T14:41:58.000Z
7/26/2014,Saco,ME,43.4981,-70.449,4,4,0,No,No,Yes,Yes,"A shooter fatally shot his wife, their two children, ages 4 and 7, and his 12-year-old stepson in the family’s home. He then fatally shot himself.",2021-06-02T14:41:58.000Z
8/4/2014,Culpeper,VA,38.5631,-77.9829,4,4,0,No,No,Yes,No,"A shooter fatally shot his wife and three daughters – ages 4, 6, and 13 – and then fatally shot himself inside their home.",2021-06-02T14:41:58.000Z
9/18/2014,Bell,FL,29.7555,-82.8626,7,7,0,No,Yes,Yes,Yes,"A shooter fatally shot his daughter and his six grandchildren, ranging from 2 months to 11 years of age. He then fatally shot himself.",2021-06-02T14:41:58.000Z
10/24/2014,Marysville,WA,48.092,-122.155,5,4,1,No,Yes,Yes,No,"A shooter shot five of his friends and classmates as they sat eating lunch in the cafeteria of Marysville-Pilchuck high school, killing four and injuring one. The shooter then fatally shot himself.",2021-06-02T14:41:58.000Z
11/15/2014,Springfield,MO,37.2432,-93.2613,4,4,0,No,Yes,No,No,"A shooter is suspected of fatally shooting four people in a motel room because he thought they were acting as informants to the police. He was convicted for being a felon in possession of a firearm. The murder charges were dropped in December 2016 though he remains the only suspect, and prosecutors anticipate re-filing charges after additional testing is complete.",2021-06-02T14:41:58.000Z
11/21/2014,Cleveland,OH,41.518,-81.6234,5,4,1,No,No,No,No,"A shooter shot and killed his close friend, a woman who was seven months pregnant, and two other victims inside a residence. He also shot and injured a 9-year-old girl.",2021-06-02T14:41:58.000Z
12/1/2014,Morgantown,WV,39.6855,-80.0378807,4,4,0,No,Yes,Yes,No,"A shooter fatally shot four people at three different locations: a business rival at his towing company, his ex-girlfriend and her new boyfriend in their shared home, and his cousin at his home. The shooter then fatally shot himself in his vehicle.",2021-06-02T14:41:58.000Z
12/15/2014,Souderton,PA,40.2459,-75.282,5,5,0,No,No,Yes,Yes,"A shooter fatally shot his ex-wife, mother-in-law, sister-in-law, brother-in-law, and grandmother-in-law. He also fatally stabbed his niece and stabbed and injured his nephew before killing himself with a drug overdose.",2021-06-02T14:41:58.000Z
12/20/2014,Rockford,IL,42.2938,-89.1072,4,4,0,No,No,Yes,No,"A shooter shot and killed his ex-girlfriend, her boyfriend, and her two children – ages 4 and 6.",2021-06-02T14:41:58.000Z
1/9/2015,San Francisco,CA,37.7737,-122.426,4,4,0,No,Yes,No,No,An unknown assailant fatally shot four young men while they sat in a parked car on the street.,2021-06-02T14:41:58.000Z
1/31/2015,LaGrange,GA,32.9776,-85.142,4,4,0,No,No,Yes,No,"A shooter fatally shot his wife, mother-in-law, father-in-law, and a teenage family friend in the home he shared with his wife’s family. The shooter also strangled and killed his stepdaughter.",2021-06-02T14:41:58.000Z
2/7/2015,Douglasville,GA,33.7138,-84.6692,6,4,2,No,Yes,Yes,Yes,"A shooter went to the home where his ex-wife lived and fatally shot her, their two sons, and the ex-wife’s new boyfriend. He also shot and injured two other children, and then fatally shot himself.",2021-06-02T14:41:58.000Z
2/26/2015,Tyrone,MO,37.1956,-91.9012,8,7,1,Yes,Yes,Yes,No,"A shooter drove from house to house in his neighborhood, fatally shooting two of his cousins, their wives, and three unrelated neighbors. He shot and injured another neighbor. He fled the scene and ultimately shot and killed himself in his car.",2021-06-02T14:41:58.000Z
3/24/2015,Indianapolis,IN,39.811,-86.1871,4,4,0,Yes,No,No,Under review,"An unknown assailant shot and killed a woman, her cousin, her son, and a friend of the family in a home.",2021-06-02T14:44:05.000Z
4/17/2015,Phoenix,AZ,33.6417,-111.989,4,4,0,No,No,Yes,No,"A shooter fatally shot his mother, two brothers, and a sister-in-law in the home they all shared. He then fatally shot himself.",2021-06-02T14:41:58.000Z
5/12/2015,Tucson,AZ,32.1299,-111.066,4,4,0,No,No,Yes,No,"A shooter fatally shot his parents, his brother, and his niece in the family’s home. He then fatally shot himself.",2021-06-02T14:41:58.000Z
5/17/2015,Waco,TX,31.5039,-97.129,27,9,18,No,No,No,Under review,A brawl between rival biker gangs escalated into a shootout in which nine bikers were fatally shot and 18 others were shot and injured. Police engaged in the shootout and fired on the bikers.,2021-06-02T14:44:05.000Z
6/7/2015,Missoula,MT,46.3991,-114.1582495,4,4,0,No,No,Yes,No,"A shooter fatally shot his wife and their three children – ages 1, 4, and 5 – in their home. He then set the house on fire and fatally shot himself.",2021-06-02T14:41:58.000Z
6/13/2015,Columbus,OH,40.0134,-82.9664,5,4,1,No,Yes,No,No,"A shooter fatally shot a man, his daughter, and two other victims inside the man’s home. He also shot and injured a 16-year-old girl. The shooter was accompanied by a 16-year-old boy who helped rob the victims, but did not shoot them.",2021-06-02T14:41:58.000Z
6/17/2015,Charleston,SC,32.7876,-79.9332,9,9,0,Yes,Yes,No,Yes,"A shooter targeted the Emanuel African Methodist Episcopal Church, a historically Black church. After worshippers welcomed him to a Bible study session in the church’s basement, he fatally shot nine people. The shooter was a white supremacist who intended to start a race war.",2021-06-02T14:41:58.000Z
7/15/2015,Holly Hill,SC,33.3467,-80.45,5,4,1,No,No,No,Under review,"Four assailants allegedly entered a residence and fatally shot two teenage girls, an adult male, an adult female, and shot and injured a child.",2021-06-02T14:44:05.000Z
7/16/2015,Chattanooga,TN,35.0905,-85.2591,7,5,2,Yes,No,No,Yes,"A shooter fired from a vehicle into an Army/Navy recruitment center. He then traveled to the US Naval Reserve where he fatally shot four Marines and one sailor, and shot and injured two others, including a police officer. Ultimately, he was fatally shot by responding police.",2021-06-02T14:41:58.000Z
8/7/2015,Barre,VT,44.1984,-72.5351,4,4,0,No,Yes,Yes,Yes,"A shooter shot and killed a social worker in a public parking lot. She then shot and killed her aunt, and two of her cousins in their home.",2021-06-02T14:41:58.000Z
8/8/2015,Harris County,TX,29.9199,-95.452,8,8,0,No,Yes,Yes,Yes,"A shooter allegedly shot and killed the woman he formerly lived with, her husband, and her six children in his former home. The shooter was arrested after a standoff with police.",2021-06-02T14:41:58.000Z
9/10/2015,Greenwood,MN,44.9081938,-93.5479981,4,4,0,No,No,Yes,No,"A shooter fatally shot his wife and their three children – ages 13, 15, and 17 – before fatally shooting himself. The shooting took place in the family’s home.",2021-06-02T14:41:58.000Z
9/17/2015,Platte,SD,43.3153,-98.6045,5,5,0,No,No,Yes,No,A shooter fatally shot his wife and their four children before setting their home on fire and fatally shooting himself.,2021-06-02T14:41:58.000Z
10/1/2015,Roseberg,OR,43.2628,-123.28,18,9,9,No,No,No,No,"A shooter fatally shot nine people and shot and injured nine more during an English class at Umpqua Community College. Two responding police officers engaged the shooter in a shootout, hitting him once in the right side. The shooter then went back into the classroom and fatally shot himself.",2021-06-02T14:41:58.000Z
11/1/2015,Pendleton,SC,34.6474,-82.748,4,4,0,No,No,No,Under review,Four family members were fatally shot in the Pendleton home where they lived. The identity of the shooter(s) is unknown.,2021-06-02T14:44:05.000Z
11/14/2015,Palestine,TX,31.7617,-95.6314,5,5,0,No,No,No,Yes,"A shooter shot and killed six people at a campsite. The shooter lived next to the campsite, and appeared to know the victims, though the motive for the shooting is unclear.",2021-06-02T14:41:58.000Z
12/2/2015,San Bernardino,CA,34.0758,-117.277,36,14,22,Yes,No,No,No,"A married couple fatally shot 14 people and shot and injured 22 more at the man’s office holiday party. The shooters fled in a vehicle but were shot and killed by pursuing police officers. The FBI investigated the incident as terrorism, suggesting that the shooters may have been inspired by ISIS.",2021-06-02T14:41:58.000Z
1/27/2016,Chesapeake,VA,36.7921,-76.3293,5,5,0,No,No,Yes,No,"A shooter fatally shot his mother, father, brother, sister, and grandmother between two homes. He then fatally shot himself.",2021-06-02T14:41:58.000Z
2/20/2016,Kalamazoo ,MI,42.2354,-85.676,8,6,2,Yes,No,No,No,"A shooter allegedly shot and killed six people and injured two more in a spree shooting. The first shooting took place in the parking lot of an apartment building; a woman was critically injured but survived. The second shooting – in the parking lot of a car dealership – killed a man and his 17-year-old son. And the third shooting – in the parking lot of a Cracker Barrel restaurant – killed four women and injured a 14-year-old girl. The shooter was working as an Uber driver during the spree, telling investigators that the Uber app took over his body.",2021-06-02T14:41:58.000Z
2/23/2016,Phoenix,AZ,33.5927,-112.163,4,4,0,No,No,Yes,No,A shooter fatally shot his parents and his two sisters in the family’s home. He set fire to the house before being fatally shot by responding police officers.,2021-06-02T14:41:58.000Z
2/26/2016,Belfair,WA,47.5033,-122.931,4,4,0,No,Yes,Yes,Yes,"A shooter fatally shot his wife, her two sons, a neighbor, and then himself.",2021-06-02T14:41:58.000Z
3/7/2016,Kansas City,KS,39.0476,-94.6699,5,5,0,Yes,Yes,No,Yes,"A shooter allegedly shot and killed four men in Kansas City, KS; at least one of these men lived in the house next door to him. The next day he fatally shot another man at that man’s home in Montgomery County, MO. A police manhunt ended in his arrest.",2021-06-02T14:41:58.000Z
3/9/2016,Wilkinsburg,PA,40.4385,-79.8722,8,5,3,Yes,Yes,No,No,Two shooters allegedly shot and killed five people and shot and injured three more at a backyard cookout. Officials believe the shooting was retaliation for another shooting in 2013.,2021-06-02T14:41:58.000Z
4/22/2016,Appling,GA,33.5989,-82.2244,5,5,0,No,Yes,Yes,Yes,"A shooter fatally shot five adults before fatally shooting himself. The shooting was related to a domestic dispute, with the shooter killing three of his girlfriend’s family members.",2021-06-02T14:41:58.000Z
4/22/2016,Pike County,OH,39.0201,-83.275,8,8,0,No,No,Yes,Under review,"Eight members of the same family were shot and killed between four homes in the Piketon, OH area. There were marijuana growth operations found at three of the crime scenes, though it is unknown if this was related to the shooting. Four shooters were charged with murder and other charges in connection to the killings.",2021-06-02T14:44:05.000Z
6/12/2016,Orlando,FL,28.5195,-81.3767,102,49,53,Yes,No,No,Yes,"A shooter fatally shot 49 people and shot and wounded 53 more at Pulse, a gay nightclub in Orlando. After the initial attack, the shooter held the people inside the club hostage for approximately three hours before police raided the club. Over a dozen police officers and sheriff’s deputies engaged in a shootout with the shooter, striking him fatally.",2021-06-02T14:41:58.000Z
6/12/2016,Roswell,NM,33.3931,-104.5227,5,5,0,No,No,Yes,Yes,"A shooter allegedly shot and killed his wife and four children, ages 7 to 14, in the family’s home.",2021-06-02T14:41:58.000Z
6/29/2016,Las Vegas,NV,36.1958,-115.224,4,4,0,No,No,Yes,Yes,A shooter fatally shot his wife outside a Walgreens store. He then fatally shot their three children – ages 9 to 15 – in the family’s apartment before fatally shooting himself.,2021-06-02T14:41:58.000Z
7/7/2016,Dallas,TX,32.7793,-96.8052,12,5,7,Yes,No,No,No,"A shooter fatally shot five police officers and shot and injured nine more people during a protest in downtown Dallas. After the shooting subsided, the shooter hid in a parking garage, holding off police for hours. The police killed him the following morning, using an explosive delivered by a remote-controlled robot.",2021-06-02T14:41:58.000Z
8/6/2016,Sinking Spring,PA,40.33,-76.0256,4,4,0,No,No,Yes,Yes,A shooter fatally shot his wife and their three children – ages 2 to 8 – before fatally shooting himself.,2021-06-02T14:41:58.000Z
9/23/2016,Burlington,WA,48.4646,-122.338,5,5,0,Yes,Yes,No,Yes,A shooter shot and killed five people at the Cascade Mall. The alleged shooter fled the mall in a vehicle and was arrested by police after a 24-hour manhunt.,2021-06-02T14:41:58.000Z
10/15/2016,Los Angeles,CA,34.0274,-118.351,14,4,10,No,Yes,No,Yes,"A dispute involving multiple shooters led to four people being fatally shot and 10 more being shot and injured. The shooting took place during a birthday party, at a home that also served as an underground restaurant in the West Adams neighborhood of Los Angeles. Though investigators suspect multiple shooters were involved, only one individual has been charged in connection with the crime.",2021-06-02T14:41:58.000Z
10/27/2016,Henry County,GA,33.384,-83.99,4,4,0,No,No,No,Under review,Two shooters shot and killed four people who were attending a bonfire.,2021-06-02T14:44:05.000Z
12/17/2016,Chicago,IL,41.7037,-87.6259,5,5,0,No,Yes,No,Under review,"Two shooters shot and killed four people and shot and injured another victim, who later died of her injuries, in a home in the Fernwood neighborhood of Chicago. Authorities believe the homicides were the result of a robbery or home invasion stemming from a drug sale earlier in the day.",2021-06-02T14:44:05.000Z
12/24/2016,Wilson County ,NC,35.731,-77.922,4,4,0,No,No,No,Under review,A shooter shot and killed four people on Christmas Eve.,2021-06-02T14:43:14.000Z
1/6/2017,Ft. Lauderdale,FL,26.0698,-80.1367,11,5,6,No,No,No,Yes,"After a one-way flight from Alaska, a shooter used a gun that he recovered from a checked bag to fatally shoot five people and wounded six others in the Ft. Lauderdale-Hollywood International Airport. He surrendered when confronted by airport police.",2021-06-02T14:41:58.000Z
1/27/2017,Bremerton,WA,47.5625,-122.828,4,4,0,No,No,No,Under review,"Three members of the Careaga family were shot and killed in a private home near Bremerton, Washington. The house was then set on fire. A fourth family member, also shot and killed, was found inside a burned truck on a remote tree farm. The identity of the shooter remains unknown.",2021-06-02T14:44:05.000Z
2/6/2017,Yazoo City,MS,32.8634,-90.4092,4,4,0,No,No,No,Yes,A shooter shot and killed four men on the street outside a nightclub at 1 a.m. He was taken into custody later that day by a US Marshals Service task force.,2021-06-02T14:41:58.000Z
3/22/2017,Rothschild,WI,44.8975,-89.6129,4,4,0,Yes,No,No,Yes,"A shooter shot and killed two women at the Marathon Savings Bank where his estranged wife worked. He then shot and killed his wife’s lawyer in her office, before retreating to an apartment building, where he shot and killed a metro detective. After a three-hour standoff, police shot the shot. He later died from his injuries.",2021-06-02T14:41:58.000Z
3/30/2017,Chicago,IL,41.7601,-87.5583,4,4,0,No,Yes,No,Under review,"A shooter shot and killed four men in and outside a restaurant on Chicago’s South Side. He was later apprehended by police, who believe the shooting was gang-related.",2021-06-02T14:44:05.000Z
4/7/2017,Houston,TX,29.6858,-95.3668,4,4,0,No,No,Yes,No,"A shooter shot and killed her sister, her mother, her mother’s boyfriend, and another adult male. She then fatally shot herself.",2021-06-02T14:41:58.000Z
5/27/2017,Bogue Chitto,MS,31.4109,-90.4609,8,8,0,No,No,Yes,Yes,"A shooter shot and killed a sheriff’s deputy who was responding to a call about a domestic situation, along with his wife’s mother, aunt, and sister. The shooter then went to another house, a few miles away in Brookhaven, and shot and killed two males. In a third house, also in Brookhaven, he shot and killed another woman – his wife’s cousin – and her husband (who also shot the shooter in the arm), before finally being apprehended by authorities.",2021-06-02T14:41:58.000Z
6/5/2017,Orlando,FL,28.5799,-81.2934,5,5,0,No,No,No,Yes,"A shooter shot and killed five people in the factory of a private business. He had been fired from the factory in April, and he selectively targeted his victims before shooting and killing himself using a semi-automatic handgun.",2021-06-02T14:41:58.000Z
6/15/2017,La Madera,NM,36.384,-106.041,5,5,0,No,No,Yes,Yes,"A shooter shot and killed his mother, stepfather, and brother at their home in La Madera. He then shot and killed a man during a carjacking in Tres Piedras, 35 miles away, and, following a 185-mile drive into Colorado and back, another man in a gas station in Abiquiu. After a car chase and crash, the shooter was finally apprehended by police.",2021-06-02T14:41:58.000Z
8/21/2017,Enfield,NC,36.1688,-77.8286,4,4,0,No,Yes,No,Yes,Two men and two women were shot and killed while playing cards around a kitchen table in a private home. They later arrested and charged four men with murder.,2021-06-02T14:41:58.000Z
8/24/2017,St. Louis,MO,38.754324,-90.20117,4,4,0,No,No,No,Under review,"A shooter shot and killed a woman, her son, a boy she had recently adopted, and a young family friend before fleeing in the woman’s car with stolen clothing and electronics. Police arrested the shooter four months later, in Columbia, Missouri, and charged him with 20 crimes in connection with the killings.",2021-06-02T14:44:05.000Z
9/10/2017,Plano,TX,33.056,-96.7261,9,8,1,Yes,No,Yes,Yes,"A shooter opened fire on a football viewing party being held by his estranged wife. Seven people were killed immediately, including his wife. An eighth victim later died at a hospital. A ninth was shot but survived her injuries. The shooter was ultimately shot and killed by a responding police officer.",2021-06-02T14:41:58.000Z
9/15/2017,Chicago,IL,41.878,-87.629,4,4,0,Yes,No,No,Under review,"An unknown assailant in a white SUV opened fire on a sedan in Brighton Park, killing three men and a pregnant woman inside.",2021-06-02T14:44:05.000Z
10/1/2017,Las Vegas,NV,36.169,-115.139,471,60,411,Yes,No,No,No,"A shooter opened fire on crowds at the Route 91 Music Festival from the window of his hotel room on the 32nd floor of Mandalay Bay Resort and Casino. In a little more than 10 minutes, he shot and killed 58 people, 31 of whom were pronounced dead at the scene; he also shot and injured 413 people, according to authorities. A SWAT team gained entry to the shooter’s hotel room using an explosive breach. They found the shooter dead from a self-inflicted gunshot wound to the head.",2021-06-02T14:41:58.000Z
10/11/2017,Pedro,OH,38.7083,-82.6423,4,4,0,No,No,Yes,Under review,"A shooter shot and killed a woman, her husband, her daughter, and her 8-year-old grandson in a mobile home not far from where he lived. Evidence suggests the shooter may have been related to the family. The shooter also raped the daughter, according to court records, and attempted to kill the daughter’s husband by stabbing him with a knife, though the man survived. The shooter was apprehended by police after a manhunt that involved multiple agencies and several states.",2021-06-02T14:44:05.000Z
11/5/2017,Sutherland Springs,TX,29.2733,-98.0564,45,25,20,Yes,Yes,Yes,Yes,"A shooter walked into the First Baptist Church and opened fire on the congregation, killing 25 people, including eight children. Additionally, one of the victims was pregnant and the unborn child did not survive the mother’s death. Among those shot and killed was the shooter’s grandmother-in-law. He also injured 20 other people. Outside the church, a bystander attempted to neutralize the shooter by shooting him twice in the leg and upper torso; The shooter made it into his SUV and sped off down the highway. The bystander joined another man in pursuit, chasing the shooter until he lost control of his vehicle and came to a halt in a ditch. Police arrived shortly after and found the shooter dead from a self-inflicted gunshot wound to the head.",2021-06-02T14:41:58.000Z
11/14/2017,Rancho Tehama Reserve,CA,40.0187,-122.393,17,5,12,Yes,Yes,Yes,Yes,"A shooter shot and killed his wife, cut a hole in the floor of their house, and hid her body. The next day, he shot and killed four additional people, and shot and injured at least 12 more, largely at random, in multiple different locations across town, including an elementary school that went into lockdown when school officials heard gunshots. Other people were injured by debris and broken glass during the attack. Eventually, a patrol car rammed the shooter’s vehicle, forcing it off the road, and he fatally shot himself.",2021-06-02T14:41:58.000Z
12/31/2017,Long Branch,NJ,40.2927,-74.0028,4,4,0,Yes,Yes,Yes,No,"A shooter, 16, shot and killed his father, mother, sister, and a family friend at home on New Year’s Eve. Two other family members fled the scene. According to news reports, the teenager was taken into custody without incident.",2021-06-02T14:41:58.000Z
1/28/2018,Melcroft,PA,40.0521,-79.3889,4,4,0,Yes,No,Yes,Yes,"A man shot and killed four people, including a woman he had briefly dated and then stalked. Upon the arrival of the authorities, they discovered the shooter to have died from a self-inflicted gunshot wound.",2021-06-02T14:41:58.000Z
1/28/2018,Reading,PA,40.3331,-75.9318,4,4,0,No,No,No,Under review,An unknown assailant shot and killed four men inside a city home. The suspect is still at large.,2021-06-02T14:44:05.000Z
2/10/2018,Paintsville,KY,37.8982,-82.886,4,4,0,No,No,Yes,Yes,A shooter shot and killed two people before fleeing the scene. He then shot and killed two other people before dying of a self-inflicted gunshot wound. ,2021-06-02T14:41:58.000Z
2/14/2018,Parkland,FL,26.3045,-80.2694,34,17,17,Yes,No,No,Yes,"A shooter, a former student of Marjory Stoneman Douglas High School, entered the school and opened fire upon students and teachers. 17 victims were shot and killed while another 17 were injured. The shooter escaped in the aftermath but was later apprehended by law enforcement.",2021-06-02T14:41:58.000Z
2/26/2018,Detroit,MI,42.4005,-83.2571,4,4,0,No,Yes,Yes,Yes,"A shooter pulled into a gas station, shot and killed two women inside a parked car. One of the victims was the mother of his child. He then shot and killed another bystander at the same gas station. He then drove to a nearby residence where he shot and killed another male relative. He then escaped in another vehicle before ultimately dying of a self-inflicted gunshot wound.",2021-06-02T14:41:58.000Z
4/22/2018,Antioch,TN,36.06,-86.6722,7,4,3,Yes,Yes,No,Yes,A shooter arrived at a Waffle House restaurant in the early morning shooting and killing two victims outside the establishment before entering the restaurant and shot and killed two other victims and injured three others before escaping. He was apprehended by law enforcement authorities the next day after a 35- hour manhunt.,2021-06-02T14:41:58.000Z
5/16/2018,Ponder,TX,33.1796,-97.2877,5,4,1,No,No,Yes,Yes,"A shooter entered the home of his ex-wife, shooting and injuring her and killing their three children. He then shot his wife’s current boyfriend before dying of a self-inflicted gunshot wound.",2021-06-02T14:41:58.000Z
5/18/2018,Santa Fe,TX,29.3727,-95.0895,23,10,13,No,Yes,No,No,A shooter entered the high school he was currently attending and opened fire on students and staff. He shot and killed 10 victims and injured 13 others before surrendering. He initially planned to take his own life but was apprehended by police.,2021-06-14T21:21:19.000Z
6/11/2018,Orlando,FL,28.4883912,-81.4642026,5,4,1,No,Yes,Yes,No,A shooter shot and killed his wife and four children. He also shot and injured one of the responding officers at the scene during a standoff with police before dying of a self-inflicted gunshot wound.,2021-06-02T14:41:58.000Z
6/28/2018,Annapolis,MD,38.978,-76.495,7,5,2,No,No,No,Yes,A shooter entered the offices of the newspaper and shot and killed five individuals and shot and injured two others before ultimately being taken into custody.,2021-06-02T14:41:58.000Z
7/9/2018,Wilmington,DE,39.744,-75.545,4,4,0,No,No,Yes,Under review,A shooter shot and killed his three children and wife before dying of a self-inflicted gunshot wound.,2021-06-02T14:44:05.000Z
