Date,City,State,Latitude,Longitude,Total shot,Number killed,Number wounded,Assault weapon OR high-capacity magazine,Prohibited shooter,Killed intimate partner or family,Dangerous warning signs,Narrative,Last updated
7/27/2018,Robstown,TX,27.798,-97.695,4,4,0,No,Yes,Yes,No,A shooter first shot and killed his step brother and nephew before traveling to the nursing home where he shot and killed his father and then his stepmother. He then died of a self- inflicted gunshot wound.,2021-06-02T14:41:58.000Z
9/12/2018,Bakersfield,CA,35.373,-119.081,5,5,0,No,No,Yes,Under review,A shooter shot and killed his ex-wife before shooting and killing four other individuals. He then attempted to flee the police before dying of a self- inflicted gunshot wound.,2021-06-02T14:44:05.000Z
10/13/2018,Taft,TX,27.979,-97.39,5,4,1,No,No,No,No,Two shooters were at a child’s birthday party and got into a conflict with another guest. They then shot and killed the other guest and his three grandsons.,2021-06-02T14:41:58.000Z
10/15/2018,Columbia,TN,35.616,-87.048,4,4,0,No,No,Yes,No,A shooter shot and killed her four adopted children before dying of a self-inflicted gunshot wound.,2021-06-02T14:41:58.000Z
10/27/2018,Pittsburgh,PA,40.443,-79.92,17,11,6,Yes,No,No,No,A shooter entered The Tree of Life synagogue in Pittsburgh and began opening fire on the worshipers. He shot and killed 11 people and injured 6 others. He was later taken into custody after engaging in a fire fight with law enforcement officers. The shooter was an active member of a social media network for white nationalists and other extremists and reportedly made anti-Semitic statements during the attack.,2021-06-02T14:41:58.000Z
11/7/2018,Thousand Oaks,CA,34.176,-118.848,13,12,1,Yes,No,No,Yes,"A shooter drove his mother’s car to a bar and forced his way in after shooting a bouncer or security guard. He then opened fire into the crowd, ultimately shooting and killing 12 victims and injuring another. He then died of a self-inflicted gunshot wound.",2021-06-02T14:41:58.000Z
11/19/2018,Philadelphia,PA,39.951,-75.165,4,4,0,No,Yes,No,Under review,The three shooters shot and killed four victims in their home. They were later apprehended and taken into custody.,2021-06-02T14:44:05.000Z
12/28/2018,St. Charles,MO,38.781,-90.486,4,4,0,No,No,Yes,Under review,"A shooter shot and killed his girlfriend, her two children, and their grandmother before escaping. While escaping he engaged in a fire fight with law enforcement officials before surrendering and was taken into custody.",2021-06-02T14:44:05.000Z
1/23/2019,Sebring,FL,27.47037,-81.45848,5,5,0,No,No,No,Yes,"A shooter shot and killed five people, including four employees, inside a SunTrust Bank. The shooter was apprehended by police after a standoff. ",2021-06-02T14:41:58.000Z
1/24/2019,Rockmart,GA,33.9982,-85.05973,5,4,1,No,Yes,Yes,Under review,"A shooter shot and killed two people in an apartment, then shot and killed two others in a home. Another person was shot and injured at the second home.",2021-06-02T14:44:05.000Z
1/26/2019,"Gonzales, Walker",LA,30.2405,-90.8929,5,5,0,No,No,Yes,Yes,"A shooter shot and killed his girlfriend, her father, and her brother. He then drove to kill his own parents nearby and was apprehended at his grandmother's by police in Virginia. ",2021-06-02T14:41:58.000Z
2/3/2019,Palm Springs,CA,33.8123,-116.506,4,4,0,No,No,No,Under review,A shooter shot and three people inside a car with him and one other person not in the car.,2021-06-02T14:44:05.000Z
2/11/2019,Blanchard,TX,30.725,-95.0563,4,4,0,No,No,Yes,Under review,"An intoxicated shooter shot and killed his wife, her grandparents, and their 15-month old daughter before dying of a self-inflicted gunshot wound.  ",2021-06-02T14:43:39.000Z
2/15/2019,Aurora,IL,41.7564,-88.3327,11,5,6,No,Yes,No,Yes,"A shooter shot and killed five employees and wounded one at the Henry Pratt Co., where he was fired that morning. He also shot and wounded five law enforcement officers and was then shot and killed by responding police. ",2022-08-15T16:47:08.000Z
2/16/2019,Clinton,MS,32.3525,-90.3194,4,4,0,No,No,Yes,Under review,"A shooter shot and killed four people in his home, then was shot by responding police during a standoff and taken to the hospital where he died.",2021-06-02T14:44:05.000Z
4/28/2019,West Chester,OH,39.3512,-84.4651,4,4,0,No,No,Yes,Under review,A shooter shot and killed his wife and other family members. He was apprehended by officials in Connecticut.  ,2021-06-02T14:43:43.000Z
5/13/2019,St. Louis,MO,38.6774,-90.2434,5,4,1,No,No,No,Under review,A shooter shot and killed four people in a home.,2021-06-02T14:44:05.000Z
5/31/2019,Virginia Beach,VA,36.751,-76.0574,16,12,4,Yes,No,No,Under review,A shooter shot and killed 12 people and wounded four more at the Virginia Beach Municipal Center. The shooter was a former employee of the city who had resigned that morning.  ,2021-06-02T14:44:05.000Z
6/8/2019,White Swan,WA,46.4225,-120.824,7,5,2,No,No,No,Under review,Two shooters shot and killed five people and injured two on the Yakama Indian Reservation. ,2021-06-02T14:44:05.000Z
6/23/2019,San Jose,CA,37.3012,-121.842,4,4,0,No,Yes,Yes,Yes,A shooter shot and killed shot and killed four people in a home before dying of a self-inflicted gunshot wound.,2021-06-02T14:41:58.000Z
7/6/2019,St. Louis County,MO,38.7494,-90.2641,5,5,0,No,No,No,Under review,Two shooters shot and killed five people in an apartment building after an attempted robbery.  ,2021-06-02T14:44:05.000Z
7/25/2019,"Canoga Park, Lake Balboa",CA,34.2201,-118.605,6,4,2,No,No,Yes,Yes,"A shooter shot and killed his father and brother and shot and wounded his mother. He then drove to a gas station and shot and killed one person and injured another, and then shot and killed a man on a bus. ",2021-06-02T14:41:58.000Z
7/28/2019,Chippewa Falls,WI,44.9205,-91.3278,6,4,2,No,No,Yes,Yes,"A shooter shot and killed three people at his home, and then traveled to another home and shot and killed one other person and injured two others. He then died of a self-inflicted gunshot wound. ",2021-06-02T14:41:58.000Z
8/3/2019,El Paso,TX,31.7767,-106.385,46,23,23,Yes,No,No,No,"A shooter traveled to a Walmart and shot 46 people, killing 23 of them, before being apprehended by police. Prior to the incident, the shooter posted a manifesto online indicating his intent to target people of Hispanic descent. ",2021-06-02T14:41:58.000Z
8/4/2019,Dayton,OH,39.7574,-84.1844,26,9,17,Yes,No,Yes,No,A shooter shot and killed nine people and wounded 17 others in an attack on Dayton's Oregon District. He was fatally shot by responding police. ,2021-06-02T14:41:58.000Z
8/31/2019,"Odessa, Midland",TX,31.9246,-102.285,32,7,25,Yes,Yes,No,Under review,A shooter shot and killed seven people and injured 25 others after a multiple-location shooting. He was fatally shot by responding police. ,2021-08-27T16:48:03.000Z
9/2/2019,Elkmont,AL,34.9208,-86.9683,5,5,0,No,Yes,Yes,Yes,"A shooter shot and killed his father, his stepmother, and his three step-siblings in their home. ",2021-06-02T14:41:58.000Z
9/12/2019,Albuquerque,NM,35.064,-106.684,6,4,2,No,No,No,Under review,A shooter shot and killed four people in a home people during a drive-by shooting. ,2021-06-02T14:44:05.000Z
9/29/2019,Beaumont,TX,30.0473,-94.0855,4,4,0,No,No,No,Under review,A shooter shot and killed his four roommates in an apartment. ,2021-06-02T14:44:05.000Z
10/6/2019,Kansas City,KS,39.1008,-94.6361,9,4,5,No,Yes,No,Under review,Two shooters shot and killed four people and injured five in a shooting at a bar. ,2021-06-02T14:44:05.000Z
10/7/2019,Abington,MA,42.1067,-70.9385,4,4,0,No,No,Yes,Under review,A shooter shot and killed his wife and their three children before dying of a self-inflicted gunshot wound. ,2021-06-02T14:44:05.000Z
10/12/2019,Chicago,IL,41.9525,-87.7951,5,5,0,No,No,No,Under review,A shooter shot and killed five people in an apartment complex. ,2021-06-02T14:44:05.000Z
10/29/2019,Philadelphia,PA,39.949,-75.2232,4,4,0,No,No,Yes,Yes,"A shooter shot and killed his mother, stepfather, and his two half-brothers in their home. ",2021-06-02T14:41:58.000Z
10/31/2019,Orinda,CA,37.8734,-122.183,9,5,4,No,No,No,Under review,A shooter shot and killed five people and injured four others during a Halloween party. ,2021-06-02T14:44:05.000Z
11/16/2019,San Diego,CA,32.6779,-117.069,5,5,0,No,No,Yes,Yes,"The estranged husband of a woman who had gotten a restraining order just one day prior entered her home and shot and killed her and their four children–ages 3, 5, 9, and 11. Police had visited to the same address earlier in the month to respond to an argument between the two adults.",2021-06-02T14:41:58.000Z
11/17/2019,Fresno,CA,36.762128,-119.717642,10,4,6,No,No,No,Under review,"Two shooters entered a backyard football watch party in Fresno, California, and opened fire in a reported act of gang retaliation. The shooting left four men killed and injured six others, all Asian men between the ages of 25 and 38. ",2021-06-02T14:44:05.000Z
12/10/2019,Jersey City,NJ,40.707094,-74.083647,7,4,3,Yes,No,No,Under review,"Two shooters shot and killed a police officer after he approached them in connection with a homicide investigation. The shooters then drove to a kosher supermarket, killing three people inside and wounding three others during a gun battle with responding police. One of the shooters had previously published anti-Semitic posts online, and law enforcement believe the shooters targeted the store. ",2021-06-02T14:44:05.000Z
1/17/2020,Grantsville,UT,40.598013,-112.430782,5,4,1,No,Yes,Yes,Under review,"A teenage boy shot and killed his mother and his three siblings, then shot and wounded his father. ",2021-06-02T14:44:05.000Z
1/22/2020,Vanceboro,NC,35.233589,-77.110482,4,4,0,No,No,Yes,Yes,"A man shot and killed his wife, their three young children, and their family dog. He then died of a self-inflicted gunshot wound.  ",2021-06-02T14:41:58.000Z
2/5/2020,Indianapolis,IN,39.832988,-85.98769,4,4,0,No,Yes,No,Under review,"Four shooters shot and killed four young people, all between the ages 19 and 21, in a home, during a robbery.",2021-06-02T14:44:05.000Z
2/26/2020,Milwaukee,WI,43.041156,-87.96392,5,5,0,No,No,No,Under review,"An employee of the Molson Coors Brewing Company shot and killed five other employees, then died of a self-inflicted gunshot wound. ",2021-06-02T14:44:05.000Z
3/15/2020,Moncure,NC,35.588419,-79.016475,6,6,0,No,No,Yes,Yes,"A man shot and killed his wife, went to his neighboring mother-in-law's house and shot her and her two guests, and then went to his wife's niece's neighboring home and shot his wife's niece and her husband. He then died by suicide. ",2021-06-02T14:41:58.000Z
3/15/2020,Springfield,MO,37.210283,-93.236766,6,4,2,No,No,No,Under review,"A man began firing shots while driving on the highway. He crashed his car into a convenience store, then shot and killed three people inside and shot and injured another. When law enforcement responded to the store, the shooter fired at them, killing one police officer and wounding another. The shooter then died by suicide.",2021-06-02T14:44:05.000Z
4/27/2020,Milwaukee,WI,43.069513,-87.926724,5,5,0,No,Yes,Yes,No,"A man shot five people in a home before contacting law enforcement and telling them that he had just massacred his family. He was taken into custody, and law enforcement are investigating the shooting as an act of family violence. ",2021-06-02T14:41:58.000Z
6/4/2020,Valhermoso Springs,AL,34.522953,-86.676802,7,7,0,No,No,No,Under review,"Two men shot and killed seven people and a dog inside a home. When police responded to the home, they found it on fire. The shooters and victims were part of a ""seven deadly sins"" ""club."" The shooters were reportedly upset with the victims over the theft of several of one shooter's firearms and breach of ""club"" protocol. The two suspects fled the scene and were later arrested in Oregon. ",2021-06-02T14:44:05.000Z
6/12/2020,Monroe,LA,32.505061,-92.151191,5,5,0,No,No,Yes,Yes,"A woman shot and killed her neighbor in a parking lot, then went inside her home and shot and killed her four young children. She then died of a self-inflicted gunshot wound.",2021-06-02T14:41:58.000Z
7/4/2020,Chicago,IL,41.783248,-87.650934,8,4,4,No,No,No,Under review,"Four unknown suspects shot eight people, four fatally, at a large street gathering. ",2021-06-02T14:44:05.000Z
7/7/2020,Paterson,NJ,40.922792,-74.161575,7,4,3,No,No,No,Under review,"Unknown suspects shot seven people, four fatally, on a street. The shooting is believed to be gang-related.",2021-06-02T14:44:05.000Z
7/28/2020,Elyria,OH,41.383818,-82.113682,4,4,0,No,No,Yes,Under review,"A man fatally shot his wife and three children, then shot and killed himself. ",2021-06-02T14:43:09.000Z
8/15/2020,Sumpter Township,MI,42.127486,-83.461496,4,4,0,No,No,Yes,Under review,"A man fatally shot his ex-girlfriend, her sister, and two other adults in a home. He then fled the scene, intentionally injured himself, and then turned himself into authorities. ",2021-06-02T14:44:05.000Z
9/7/2020,Aguanga,CA,33.45,-116.85,7,7,0,No,No,No,Under review,Seven people were shot and killed at a suspected marijuana growing operation.,2021-06-02T14:44:05.000Z
11/30/2020,Wasilla,AK,61.541841,-149.632264,4,4,0,No,No,Yes,Yes,"A teenager shot and killed his cousin, then drove to another home and fatally shot three other relatives. ",2021-06-02T14:41:58.000Z
12/13/2020,Elkview,WV,38.43322,-81.484873,4,4,0,No,Yes,No,Under review,"Two teenagers shot and a family of four, including two children, in a home. ",2021-06-02T14:44:05.000Z
12/25/2020,Pope County,AR,35.197722,-93.002379,4,4,0,No,No,Yes,Under review,"A woman fatally shot her mother and three daughters, then shot and killed herself.",2021-06-02T14:44:05.000Z
1/9/2021,Chicago,IL,41.802468,-87.585338,7,5,2,Under review,Under review,Under review,Under review,"Using a stolen gun, a man shot and killed five people he did not know and wounded two others across multiple locations across Chicago and Evanston. ",2021-06-02T14:44:53.000Z
1/24/2021,Indianapolis,IN,39.82001,-86.108381,6,5,1,Under review,Under review,Under review,Under review,"A teenage male shot and killed his father, stepmother, two teenage relatives and a pregnant 19-year-old who had been living with them, and shot and wounded his sibling. The pregnant woman's unborn child, who was due to be born in a week, was also killed in the shooting. ",2021-06-02T14:44:46.000Z
2/2/2021,Muskogee,OK,35.732394,-95.347809,7,6,1,Under review,Under review,Under review,Under review,"A man shot and killed his brother and five young children, and shot and wounded the children's mother.",2021-06-02T14:44:46.000Z
3/13/2021,Indianapolis,IN,39.771623,-86.128384,5,4,1,Under review,Under review,Under review,Under review,"A man shot and killed four family members, and shot and wounded his girlfriend, in a dispute over a stimulus check.",2021-06-02T14:44:46.000Z
3/16/2021,Cherokee County,GA,34.087997,-84.58111,9,8,1,Under review,Under review,Under review,Under review,"A man fatally shot four people at a spa, then shot and wounded a man outside. He then traveled to a second spa, where he shot and killed three more women, and shot and killed one other woman at a third spa. ",2021-06-02T14:44:53.000Z
3/22/2021,Boulder,CO,39.983521,-105.251671,10,10,0,Under review,Under review,Under review,Under review,"A man fatally shot 10 people, including a responding police officer, at a King Soopers supermarket. Authorities recovered a rifle and a semiautomatic handgun from the scene. ",2021-06-02T14:44:53.000Z
3/28/2021,Essex,MD,39.305539,-76.441666,5,4,1,Under review,Under review,Under review,Under review,"A man fatally shot his parents, then drove to a convenience store where he shot three people, two fatally. He then traveled to an apartment complex parking lot and died of a self-inflicted gunshot wound.",2021-06-02T14:44:46.000Z
3/31/2021,Orange,CA,33.835385,-117.853663,5,4,1,Under review,Under review,Under review,Under review,"A man shot five people, killing four, including a child at an office complex. The shooter was wounded after police responded to the scene, and was taken into custody. ",2021-06-02T14:44:46.000Z
4/3/2021,Allen,TX,33.09117,-96.631826,4,4,0,Under review,Under review,Under review,Under review,"Two brothers shot and killed four family members, including their mother and father, their grandmother, and their sister, and then shot and killed themselves at a home. In a note, one of the shooters wrote that they obtained firearms used in the shooting by lying on a form.",2021-06-02T14:44:53.000Z
4/7/2021,Rock Hill,SC,34.850529,-81.035471,6,5,1,Under review,Under review,Under review,Under review,"A man shot six people, killing five, including two children, at a home. One of the victims was a doctor that had previously treated the shooter. The shooter then died of a self-inflicted gunshot wound.",2021-06-02T14:44:46.000Z
4/15/2021,Indianapolis,IN,39.680934,-86.321823,13,8,5,Under review,Under review,Under review,Under review,"A man armed with two AR-15 style rifles shot at least 13 people, 8 fatally, at a FedEx facility where he was a former employee. He first began shooting in the facility's parking lot before continuing inside the building. The shooter then died of a self-inflicted gunshot wound. ",2021-06-02T14:44:53.000Z
4/28/2021,Boone,NC,36.211109,-81.604794,4,4,0,Under review,Under review,Under review,Under review,"A man shot and killed his mother and his stepfather inside a home, and fatally shot two responding deputies. A third officer was shot but his Kevlar helmet protected him from being wounded. ",2021-06-02T14:44:46.000Z
5/9/2021,Colorado Springs,CO,38.792844,-104.7322899,6,6,0,Under review,Under review,Under review,Under review,A man shot and killed his girlfriend and 5 of her family members while they were attending a birthday party that he wasn't invited to. He then died of a self-inflicted gunshot wound.,2021-06-02T14:44:46.000Z
5/24/2021,West Jefferson,OH,39.946642,-83.272449,4,4,0,Under review,Under review,Under review,Under review,"Three people were found shot and killed in an apartment, and one was found shot and killed just outside the apartment entrance.",2021-06-02T14:44:46.000Z
5/26/2021,San Jose,CA,37.353483,-121.909643,9,9,0,Under review,Under review,Under review,Under review,"An employee of the Santa Clara Valley Transportation Authority opened fire at a rail yard, killing eight people and wounding one by gunfire. He then died of a self-inflicted gunshot wound.",2021-06-02T14:44:46.000Z
6/15/2021,Chicago,IL,41.780857,-87.649626,8,4,4,Under review,Under review,Under review,Under review,"Eight people were shot, four fatally, during a party at a home. Authorities believe two suspects were responsible for the shooting.",2021-09-02T19:55:54.000Z
7/20/2021,New Summerfield,TX,32.649956,-95.708281,4,4,0,Under review,Under review,Under review,Under review,"Three men went to a home, intending to steal a handgun they arranged to purchase. After stealing the gun, they shot and killed the person who owned it, then shot and killed three others in the home. ",2021-09-02T19:55:54.000Z
7/26/2021,Wasco,CA,35.600634,-119.344763,5,4,1,Under review,Under review,Under review,Under review,"A man armed with an Ak-47 and a handgun shot and killed his wife, their two sons, and a responding police officer. Another officer was shot and wounded. The shooter had previously been arrested multiple times for domestic violence. ",2021-09-02T19:55:54.000Z
9/5/2021,Houston,TX,29.683525,-95.51869,4,4,0,Under review,Under review,Under review,Under review,"A man shot and killed his mother, stepfather, and two younger siblings in their home. Responders also put out a fire at the home. The man died by suicide as law enforcement intended to arrest him.",2021-10-15T19:51:07.000Z
9/5/2021,Lakeland,FL,28.127864,-81.951955,5,4,1,Under review,Under review,Under review,Under review,"A man shot three adults, an infant, and an 11-year old girl at two homes. The adults and the infant were killed. When police responded to the scene, the man exchanged fire with them, then was shot and taken into custody.",2021-10-15T19:51:07.000Z
9/12/2021,St. Paul,MN,45.161677,-91.972676,4,4,0,Under review,Under review,Under review,Under review,A father and son shot and killed four people in St. Paul. They then left the victims in an abandoned SUV that was parked in a cornfield in Wisconsin. The two men were taken into custody. ,2021-10-15T19:54:55.000Z
9/25/2021,McMinn County,TN,35.421342,-84.640534,5,4,1,Under review,Under review,Under review,Under review,"A man and a woman arrived at a residence and a dispute occurred. The pair shot and killed four people in the home, including the father of the woman's child, and shot and grazed a fifth person. The shooters were taken into custody by law enforcement. ",2021-10-15T19:51:07.000Z
10/21/2021,Tacoma,WA,47.218659,-122.399343,4,4,0,Under review,Under review,Under review,Under review,A man shot and killed two women and two men in a shooting that began in an alley and moved to the front yard of a home. The man has been arrested by police. ,2021-11-24T16:02:27.000Z
10/22/2021,Clare County,MI,43.857558,-84.828136,4,4,0,Under review,Under review,Under review,Under review,"A woman shot and killed her father, her sister, and two other people with a .22-caliber rifle. She drove away from the home where the shooting occurred and was detained by police. Investigators discovered a journal in a vehicle with a list of other people they believe she intended to kill. ",2021-11-24T16:02:29.000Z
11/28/2021,Lancaster ,CA,34.686744,-118.074105,5,5,0,Under review,Under review,Under review,Under review,A man shot and killed his four children and their grandmother in a home. Each of the children were under 13. Authorities have arrested the shooter.,2022-01-07T23:01:14.000Z
11/30/2021,Oxford,MI,42.838145,-83.261238,11,4,7,Under review,Under review,Under review,Under review,"A 15-year-old student shot 11 people at Oxford High School, killing 4 other students and wounding seven people, including a teacher at the school. The shooter used a handgun and ammunition that had been purchased by his father four days before the shooting. The shooter was charged with terrorism causing death, first-degree murder, and assault with intent to murder, and the shooter's parents were both charged with involuntary manslaughter. ",2022-01-07T23:01:14.000Z
12/27/2021,Denver,CO,39.718375,-104.987513,7,5,2,Under review,Under review,Under review,Under review,"A man shot seven people, five fatally, during a shooting spree in the Denver area. He was shot and killed by a police officer that he had wounded during the shooting. Many of the victims were personally or professionally known to the shooter. The shooter had a history of extremist and misogynist beliefs, and had written a book that involved the main character, with a similar name to the shooter, killing people who were later killed in the shooting.",2022-01-07T23:01:14.000Z
1/23/2022,Inglewood,CA,33.979402,-118.345428,5,4,1,Under review,Under review,Under review,Under review,"An argument at a house party led to a shooting that killed four people, including two sisters, and wounded a fifth person. Investigators believe that an assault rifle and handgun were used in the shooting.  ",2022-02-18T21:13:16.000Z
1/23/2022,Milwaukee,WI,43.064167,-87.938947,6,6,0,Under review,Under review,Under review,Under review,Six people were found killed with gunshot wounds in a Milwaukee home. Law enforcement have arrested four people of interest in connection with the shooting.,2022-02-18T21:13:16.000Z
2/5/2022,Corsicana,TX,32.083349,-96.495879,7,5,2,Under review,Under review,Under review,Under review,"A man shot seven people, five fatally, at two different homes in Texas. At least five of the victims were known to the shooter, including his stepfather, mother, two sons, and the son of a former girlfriend, who were all killed. The shooter then died of a self-inflicted gunshot wound. ",2022-02-18T21:13:16.000Z
2/28/2022,Sacramento,CA,38.600519,-121.4192266,4,4,0,Under review,Under review,Under review,Under review,"A man with a long history of domestic violence shot and killed his three daughters and a man who was supervising their visit in a Sacramento church. The man then died by a self-inflicted gunshot wound. His ex-girlfriend had a restraining order out against him, alleging a decade of violent abuse, that prohibited the shooter from owning guns.",2022-04-04T15:52:22.000Z
4/20/2022,Duluth,MN,46.802234,-92.101901,4,4,0,Under review,Under review,Under review,Under review,"A man shot and killed his aunt, uncle, two cousins, and their family dog in a home. Before the attack, he announced his plan to kill his family on social media. When police arrived at the scene, the shooter died of a self-inflicted gunshot wound. ",2022-05-09T19:51:16.000Z
4/27/2022,Biloxi,MS,30.390223,-88.996254,4,4,0,Under review,Under review,Under review,Under review,"A man fatally shot three people at a hotel, including the owner and two employees, and then fled the scene in one of the victim's cars. He then carjacked another man, fatally shooting him. The shooter barricaded himself inside a store before dying of smoke inhalation from a fire that he set.",2022-05-09T19:51:16.000Z
5/14/2022,Buffalo,NY,42.909794,-78.853148,13,10,3,Under review,Under review,Under review,Under review,"An 18-year-old used an assault rifle to open fire at Tops Friendly Market, shooting 13 people, including 10 fatally. Eleven of the victims were Black, and before the attack, the shooter posted a racist screed outlining his intent to target Black Americans. ",2022-05-24T21:35:02.000Z
5/24/2022,Uvalde,TX,29.20008445,-99.78701887,38,21,17,Under review,Under review,Under review,Under review,"An 18-year-old shot 38 people, 21 fatally, including 19 children and two teachers, at Robb Elementary School. The shooter was armed with an assault rifle and high-capacity magazine. ",2022-06-03T14:23:23.000Z
5/27/2022,Austin Township,MI,43.600099,-85.379905,4,4,0,Under review,Under review,Under review,Under review,A man shot and killed his wife and three young children in a home. He then wounded himself with a self-inflicted gunshot. ,2022-06-03T15:39:10.000Z
6/1/2022,Tulsa,OK,36.070905,-95.920392,4,4,0,Under review,Under review,Under review,Under review,"A man shot and killed four people, including his surgeon, in a hospital. He then died of a self-inflicted gunshot wound. The attack also left multiple people wounded.",2022-06-03T15:39:28.000Z
6/7/2022,Portsmouth,VA,36.827274,-76.311038,4,4,0,Under review,Under review,Under review,Under review,Four people were shot and killed inside a home. The suspects fled the scene and have not yet been identified. ,2022-06-17T18:00:07.000Z
7/4/2022,Highland Park,IL,42.18588,-87.798657,55,7,48,Under review,Under review,Under review,Under review,"A 21-year-old used a semiautomatic rifle with a high-capacity magazine and shot and killed 7 people and wounded dozens of others during a Fourth of July parade in Highland Park. 
",2022-10-19T12:48:17.000Z
8/5/2022,Butler Township,OH,39.850517,-84.216189,4,4,0,Under review,Under review,Under review,Under review,"A man attempted an armed robbery at two homes, killing two people in one home and two in another, including husband and wife and a mother and her 15-year-old daughter. The shooter was prohibited from owning firearms, and told the FBI he purchased guns through a private sale in Kentucky to circumvent firearm laws. ",2022-09-14T17:05:50.000Z
9/9/2022,Elk Mills,MD,36.661673,-75.83624,4,4,0,Under review,Under review,Under review,Under review,"A man shot and killed his wife and three children, a 14-year-old girl, an 11-year-old girl, and an 8-year-old boy, in a home. He then died by gun suicide. A handgun was recovered at the scene.",2022-09-14T17:05:50.000Z
9/29/2022,McGregor,TX,31.443668,-97.409259,5,5,0,Under review,Under review,Under review,Under review,A man shot and killed five people at two different homes. Among the victims were his partner and her two children. The man was taken into custody and charged with felony aggravated assault with a deadly weapon.,2022-10-14T00:33:47.000Z
10/5/2022,Inman,SC,35.047452,-82.092965,5,5,0,Under review,Under review,Under review,Under review,A man shot and killed five people in a home. He then robbed a store and was apprehended by police. He has been charged with five counts of murder.,2022-10-14T00:33:47.000Z
10/14/2022,Raleigh,NC,35.809129,-78.547613,7,5,2,Under review,Under review,Under review,Under review,"A 15-year-old shot and killed five people, including his brother, and wounded two others. Police confronted the shooter, leading to a standoff before the teen was taken into custody. ",2022-10-14T21:19:12.000Z
